"id","man.source","app.mthd","crop","timing","air.temp","wind.2m","man.dm","man.ph","incorp","t.incorp","EF.report","ct","rain.rate","tan.app","app.rate.ni","app.mthd.cs","app.mthd.os","man.source.pig","incorp.deep","EF","flag"
1,"Cattle","Closed slot injection","-","March",4.9,4.025,6.5,7,"None",NA,1.6,168,0.09,100,0,TRUE,FALSE,FALSE,FALSE,1.6,""
2,"Cattle","Closed slot injection","-","April",8.5,3.91,6.5,7,"None",NA,1.6,168,0.09,100,0,TRUE,FALSE,FALSE,FALSE,1.6,""
3,"Cattle","Open slot injection","+","March",4.9,4.025,6.5,7,"None",NA,12,168,0.09,100,0,FALSE,TRUE,FALSE,FALSE,12,""
4,"Cattle","Open slot injection","+","April",8.5,3.91,6.5,7,"None",NA,14,168,0.09,100,0,FALSE,TRUE,FALSE,FALSE,14,""
5,"Cattle","Open slot injection","+","Summer, grass",15.75,3.2775,6.5,7,"None",NA,15,168,0.09,100,0,FALSE,TRUE,FALSE,FALSE,15,""
6,"Cattle","Closed slot injection","-","Summer, before rapeseed",17.55,3.105,6.5,7,"None",NA,1.6,168,0.09,100,0,TRUE,FALSE,FALSE,FALSE,1.6,""
7,"Cattle","Open slot injection","+","Autumn",14.6,3.45,6.5,7,"None",NA,15,168,0.09,100,0,FALSE,TRUE,FALSE,FALSE,15,""
8,"Cattle","Closed slot injection","-","Autumn",14.6,3.45,6.5,7,"None",NA,1.6,168,0.09,100,0,TRUE,FALSE,FALSE,FALSE,1.6,""
9,"Cattle","Trailing hose","-","March",4.9,4.025,6.5,7,"Deep",4,3.1,168,0.09,100,30,FALSE,FALSE,FALSE,TRUE,3.1,""
10,"Cattle","Trailing hose","-","April",8.5,3.91,6.5,7,"Deep",4,4.7,168,0.09,100,30,FALSE,FALSE,FALSE,TRUE,4.7,""
11,"Cattle","Trailing hose","+","March",4.9,4.025,6.5,7,"None",NA,22,168,0.09,100,30,FALSE,FALSE,FALSE,FALSE,22,""
12,"Cattle","Trailing hose","+","April",8.5,3.91,6.5,7,"None",NA,27,168,0.09,100,30,FALSE,FALSE,FALSE,FALSE,27,""
13,"Cattle","Trailing hose","+","May",12.4,3.565,6.5,7,"None",NA,30,168,0.09,100,30,FALSE,FALSE,FALSE,FALSE,30,""
14,"Cattle","Trailing hose","+","Summer",16.86667,3.1816667,6.5,7,"None",NA,33,168,0.09,100,30,FALSE,FALSE,FALSE,FALSE,33,""
15,"Cattle","Trailing hose","-","Summer",16.86667,3.1816667,6.5,7,"Deep",4,11,168,0.09,100,30,FALSE,FALSE,FALSE,TRUE,11,""
16,"Cattle","Trailing hose","+","Autumn",14.6,3.45,6.5,7,"None",NA,32,168,0.09,100,30,FALSE,FALSE,FALSE,FALSE,32,""
17,"Cattle","Trailing hose","-","Autumn",14.6,3.45,6.5,7,"Deep",4,9.2,168,0.09,100,30,FALSE,FALSE,FALSE,TRUE,9.2,""
18,"Pig","Closed slot injection","-","March",4.9,4.025,3.9,7.2,"None",NA,1.8,168,0.09,100,0,TRUE,FALSE,TRUE,FALSE,1.8,""
19,"Pig","Closed slot injection","-","April",8.5,3.91,3.9,7.2,"None",NA,1.8,168,0.09,100,0,TRUE,FALSE,TRUE,FALSE,1.8,""
20,"Pig","Open slot injection","+","March",4.9,4.025,3.9,7.2,"None",NA,9.7,168,0.09,100,0,FALSE,TRUE,TRUE,FALSE,9.7,""
21,"Pig","Open slot injection","+","April",8.5,3.91,3.9,7.2,"None",NA,9.8,168,0.09,100,0,FALSE,TRUE,TRUE,FALSE,9.8,""
22,"Pig","Open slot injection","+","Summer, grass",15.75,3.2775,3.9,7.2,"None",NA,10,168,0.09,100,0,FALSE,TRUE,TRUE,FALSE,10,""
23,"Pig","Closed slot injection","-","Summer, before rapeseed",17.55,3.105,3.9,7.2,"None",NA,1.8,168,0.09,100,0,TRUE,FALSE,TRUE,FALSE,1.8,""
24,"Pig","Open slot injection","+","Autumn",14.6,3.45,3.9,7.2,"None",NA,10,168,0.09,100,0,FALSE,TRUE,TRUE,FALSE,10,""
25,"Pig","Closed slot injection","-","Autumn",14.6,3.45,3.9,7.2,"None",NA,1.8,168,0.09,100,0,TRUE,FALSE,TRUE,FALSE,1.8,""
26,"Pig","Trailing hose","-","March",4.9,4.025,3.9,7.2,"Deep",4,2.4,168,0.09,100,30,FALSE,FALSE,TRUE,TRUE,2.4,""
27,"Pig","Trailing hose","-","April",8.5,3.91,3.9,7.2,"Deep",4,3.5,168,0.09,100,30,FALSE,FALSE,TRUE,TRUE,3.5,""
28,"Pig","Trailing hose","+","March",4.9,4.025,3.9,7.2,"None",NA,14,168,0.09,100,30,FALSE,FALSE,TRUE,FALSE,14,""
29,"Pig","Trailing hose","+","April",8.5,3.91,3.9,7.2,"None",NA,15,168,0.09,100,30,FALSE,FALSE,TRUE,FALSE,15,""
30,"Pig","Trailing hose","+","May",12.4,3.565,3.9,7.2,"None",NA,15,168,0.09,100,30,FALSE,FALSE,TRUE,FALSE,15,""
31,"Pig","Trailing hose","+","Summer",16.86667,3.1816667,3.9,7.2,"None",NA,16,168,0.09,100,30,FALSE,FALSE,TRUE,FALSE,16,""
32,"Pig","Trailing hose","-","Summer",16.86667,3.1816667,3.9,7.2,"Deep",4,6.7,168,0.09,100,30,FALSE,FALSE,TRUE,TRUE,6.7,""
33,"Pig","Trailing hose","+","Autumn",14.6,3.45,3.9,7.2,"None",NA,15,168,0.09,100,30,FALSE,FALSE,TRUE,FALSE,15,""
34,"Pig","Trailing hose","-","Autumn",14.6,3.45,3.9,7.2,"Deep",4,5.8,168,0.09,100,30,FALSE,FALSE,TRUE,TRUE,5.8,""
