"","1a","1b","1c","1d","1e","2a","2b","2c","2d","2e","2f"
"int.f0",-0.353996238706157,-0.662255879096214,-0.286507132623133,-0.633336661256068,-0.325714062986612,-0.418743923185992,-0.557595875295306,-0.562125096830655,-0.628255391578043,-0.495247213283085,-0.61402829042466
"app.mthd.os.f0",-1.14743569140375,-1.21222017270187,-1.06371719211497,-0.844856302756736,-1.26129730093544,-1.5631834674316,-0.729283497425809,-1.15518579736988,-1.99528433664045,-1.01902949733659,-1.85807387753235
"app.rate.nos.f0",-0.00981793840601009,-0.00639283463928822,-0.0107982401472867,-0.0046049135174435,-0.00894823466887992,-0.0168904917916733,-0.00897234885986783,-0.0165638360797671,-0.0120913402241757,-0.010621350824032,-0.00957302473775341
"app.rate.os.f0",-0.00222660524927873,-0.00310777104777117,-0.00618978531269634,0.00466445561850884,-0.0116727646605663,-0.011845011319816,-0.0339873312078203,-0.0643765130204193,0.00841363654034348,-0.0282001083946148,NA
"man.dm.f0",0.301232405195731,0.376898314551199,0.232379649255822,0.347968077219278,0.371625101943952,0.462700859820868,0.414935349494926,0.356355732406073,0.39137918583607,0.409663940874433,0.392065395520034
"man.source.pig.f0",-0.575140595578907,-0.326806668386119,-0.958054650362444,-0.460950710569233,-0.609895049465272,-0.337600363508617,-0.663734334727341,-0.751137340066507,-0.253959326829964,-0.595041556566325,-0.487836882998692
"country.NL.f0",NA,NA,0.267659475947563,0.21492144194835,0.206639278464459,NA,NA,0.606678817029195,0.247676346934521,0.216653775630093,0.827168247237459
"country.CH.f0",NA,NA,-0.319571201672208,-0.0395977616104424,-0.0434291020638579,NA,NA,0.205840344908713,0.171063359631152,0.0405172168445591,0.0738551613820173
"int.r1",-1.15483915075233,-0.96394756238113,-1.19649007022698,-1.10988620740588,-1.01479051913645,-0.906056863428842,-0.914715244984846,-0.921717688790787,-1.06972276912352,-0.924747835176718,-1.08607429400468
"app.mthd.bc.r1",0.567934186841931,0.52372270280276,0.654013211901944,0.588287081786484,0.489044596464917,0.766849573532077,0.697679405100531,0.752331587184257,0.836390810760092,0.683040387483102,0.837869687253442
"man.dm.r1",-0.0245051753644666,-0.0775461406145775,-0.0460786632609131,-0.0775240458634362,-0.080969529103038,-0.144181171136306,-0.103485335327053,-0.107325596226478,-0.0865957112596793,-0.0889216884540031,-0.111977710156936
"air.temp.r1",0.0483740710823242,0.0439646390140388,0.0561815815501386,0.0444942575251258,0.035449835274689,0.0618581616959536,0.0624955253516767,0.0676672806124446,0.0500535167382187,0.0557116110934437,0.0826792248659307
"wind.2m.r1",0.0619264860659337,0.0447667925995046,0.0520705414728236,0.0642334221265836,0.0475652828737605,0.120202446080379,0.115125599819021,0.176494776048834,0.131645270892546,0.118170883998259,0.146638858512843
"app.mthd.ts.r1",-0.132145025797041,0.0438844748512822,-0.0899208474132943,0.0107174870785876,0.0389520358060129,-0.413023896499893,-0.326927148888833,-0.47676617475618,-0.168390278565451,-0.110562505335225,-0.505185262674656
"man.ph.r1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bsth.grass.hght.r1",NA,-0.00376864251384272,NA,0.0129394653034158,NA,NA,0.00132429653851829,NA,0.00815480970404051,NA,NA
"bsth.cereal.hght.r1",NA,-0.0109575588849516,NA,-0.00823462230477786,-0.0104349531752419,NA,-0.203383385530102,NA,0.00659276691989091,-0.00153687213820371,-0.0110208626100416
"ts.grass.hght.r1",NA,-0.0203400998874169,NA,-0.0124427278480896,-0.0182842186342807,NA,-0.00336112317845712,NA,0.00568925984739375,-0.0166819381676491,0.0144346911747784
"ts.cereal.hght.r1",NA,-0.0815569492617559,NA,-0.121566245100349,-0.1252544580122,NA,-0.189345370762654,NA,-0.230253169013558,-0.201551362246973,-0.226873780236429
"grass.hght.r1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"int.r2",-0.982878806366857,-1.08138320407309,-1.03570452031667,-1.07846788906697,-1.01066279273618,-1.36829450979251,-1.09826137463024,-1.32203381072872,-1.16921213227908,-1.06244120267792,-1.11632872767597
"rain.rate.r2",0.530087600290857,0.392083679186099,0.392657254201491,0.48579552355867,0.451840149814094,0.667738705231419,0.409324784264979,0.485075537558519,0.340861302639211,0.469500925724872,0.431218377474085
"int.r3",-2.95291634655565,-2.92913512973092,-2.92663978355483,-2.94987103911074,-2.95175360875466,-2.88421073232938,-2.79148086667201,-2.78958611596475,-2.88960426813621,-2.87271452509006,-2.78633168939413
"air.temp.r3",0.0175545145014696,0.0123564885727548,0.0275445645193713,0.0122519769207442,0.0124507893113578,0.0306885266742255,0.010491174961512,0.01898058185636,0.00211207092058425,0.00114529052129596,0.00893092460753754
"app.mthd.os.r3",-0.0283527857698289,-0.159360363445803,-0.102186880156658,-0.139236933830501,-0.143325157141532,-0.0487976738140324,-0.08926014162056,-0.091446808222605,-0.0392027380783904,-0.0879734229470261,-0.25942103612601
"rain.cum.r3",-0.034238166656279,-0.0394769578659649,-0.0592175346044285,-0.0407515307280285,-0.0390319420141791,0.00541856072171458,-0.010098339388113,0.00279704864223106,-0.0415840568057159,-0.0110518688840474,-0.0119869822528618
"man.ph.r3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
