"","int.f0","int.r1","int.r2","int.r3","incorp.shallow.f4","incorp.shallow.r3","incorp.deep.f4","incorp.deep.r3"
"1",-0.0721319902010804,-1.20579173069521,-0.883583054613571,-3.5901466498017,-1.03728495845739,-0.378780071701295,NA,NA
"2",3.3826757677572,-1.57839888453539,-0.588361689794664,-3.94204846023401,-2.94169297333805,-3.91848894034612,NA,NA
"3",-1.78092052070092,-1.54160573006552,-2.48800717984281,-2.92080849120387,0.425805448979715,-1.04416935119683,NA,NA
"4",0.552746849337357,-1.67767103832004,-0.491258463906139,-2.77358213455656,-0.552969035634801,-1.28975894295218,NA,NA
"5",-0.515174204829894,-0.901455858596671,-1.13182774322895,-2.67427926993612,-0.298218091514587,-0.351627391429065,NA,NA
"6",1.0948111438932,-0.404067802943328,-1.18974881818386,-2.51027236689042,-1.75982477522993,-0.370081506695718,NA,NA
"7",-0.529939903532396,-0.144102962482933,-1.77987651445045,-3.56200956663866,-1.26364300536319,-0.315520399785254,NA,NA
"8",0.972798681321927,-0.675883446274749,-2.61344194005744,-3.07848269784848,-0.827409288949205,0.404969859768634,-3.81500759555079,-0.510661150144497
"9",-0.701071431500372,-0.375878220478654,-1.57452337716777,-2.34226254036092,-0.409749551720909,-0.675437627839563,NA,NA
"10",0.532383358857377,-0.358710760922332,-2.0921795562871,-2.69242287149571,-2.20403690165835,-0.477168135403971,NA,NA
"11",0.825709931988804,-0.917942881414204,-0.705172486296339,-2.31189719417614,NA,NA,-3.5748914832782,-2.02073008993651
"12",0.231427020118541,-0.710786515825936,-2.56542342166068,-1.90714285632511,-0.899790996938829,-0.957918709591627,NA,NA
"13",0.529338927324247,-0.331527838029807,-1.61610677458493,-2.30346480071794,-1.18481221602349,-0.724848582551169,NA,NA
"14",0.731828793686186,-0.503456591399917,-4.08051161800341,-1.64236343911519,-1.30134994094352,-1.35510531314185,NA,NA
"15",4.47721315035627,-0.51345590070488,-1.06141359822317,-1.98414010635625,-1.63005176589231,-0.827154024538987,NA,NA
"16",-0.0141924772991319,-0.463574908736975,-2.22085129867302,-2.3869801174664,-0.964966548279922,-0.35529618443971,NA,NA
"17",0.315624036972763,-0.635389417672333,-1.48455320833401,-2.84618160260516,-0.771667761294508,-0.437325887623096,NA,NA
"18",-0.33682319344399,-0.439142698440731,-2.00630898300736,-2.28733788756899,0.0703502433940298,-0.580526893811793,NA,NA
